index,prediction,label,err
0,0.022788763,2.4990604,2.4762716
1,0.0,1.6892434,1.6892434
2,0.0,0.89023924,0.89023924
3,0.0,0.1534613,0.1534613
4,0.0,0.0,0.0
5,0.0,0.87819546,0.87819546
6,4.4911795,4.3909287,-0.10025072
7,12.456795,13.308706,0.85191154
8,30.492748,31.3505,0.85775185
9,58.909256,60.667694,1.7584381
10,99.90923,98.38517,-1.5240631
11,136.8236,135.9213,-0.902298
12,164.85176,162.82805,-2.0237122
13,175.54195,171.88245,-3.6595001
14,164.54936,161.38866,-3.1607056
15,141.71536,134.78691,-6.9284515
16,101.43323,99.44683,-1.9863968
17,66.6907,64.42749,-2.2632065
18,39.774708,36.893234,-2.8814735
19,21.803947,19.42039,-2.3835583
20,10.400658,10.344823,-0.05583477
21,6.229002,6.2992353,0.070233345
22,3.4488966,4.5361457,1.087249
23,6.010771,3.7030065,-2.3077643
24,7.2726088,3.3537674,-3.9188414
25,5.226328,3.2766328,-1.9496951
26,0.0,3.2950885,3.2950885
27,0.0,3.1078722,3.1078722
28,0.0,0.4164971,0.4164971
29,0.0,1.2485236,1.2485236
30,2.009525,2.9390569,0.9295318
31,6.828808,5.787671,-1.0411367
32,11.856049,10.268315,-1.5877333
33,19.097029,17.914705,-1.1823235
34,33.814003,32.044643,-1.7693596
35,58.049812,56.29738,-1.7524338
36,89.13347,90.74242,1.6089478
37,127.72795,129.38272,1.6547699
38,162.30162,162.94373,0.6421051
39,182.99811,184.95468,1.9565735
40,193.47826,195.14107,1.6628113
41,197.57265,197.67464,0.101989746
42,197.71027,197.01535,-0.6949158
43,196.64874,194.8383,-1.8104401
44,191.09619,189.36778,-1.7284088
45,177.38905,176.74075,-0.6483002
46,153.71832,153.6913,-0.027023315
47,118.69332,120.63866,1.9453354
48,81.41871,83.00578,1.5870743
49,43.790176,44.283714,0.4935379
50,20.340614,19.468554,-0.8720608
51,4.9449844,5.332969,0.38798475
52,1.0698469,0.0,-1.0698469
53,2.451838,1.8131956,-0.63864243
54,11.602934,11.317259,-0.28567505
55,30.691683,30.163052,-0.5286312
56,57.788868,57.59152,-0.19734955
57,86.67616,87.80157,1.1254044
58,110.18193,111.71177,1.5298386
59,123.09953,122.34713,-0.75240326
60,119.16575,119.13268,-0.033065796
61,107.83345,107.95849,0.12503815
62,95.79041,97.016846,1.2264328
63,90.2319,90.326805,0.09490204
64,83.359245,84.241356,0.8821106
65,71.34214,72.02387,0.6817322
66,52.179577,52.20263,0.023052216
67,31.144379,30.474543,-0.66983604
68,16.49585,13.738876,-2.7569733
69,6.2179832,4.742598,-1.4753852
70,5.108962,2.261752,-2.8472102
71,7.520378,3.698654,-3.8217242
72,9.143508,6.296009,-2.847499
73,8.813986,8.171494,-0.6424923
74,7.416046,7.928619,0.51257277
75,3.084404,5.5647736,2.4803696
76,0.0,0.49892533,0.49892533
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.49245286,0.49245286
80,4.082141,3.1094627,-0.9726782
81,10.695065,8.9884615,-1.706603
82,25.29966,20.724972,-4.574688
83,46.82326,41.269325,-5.553936
84,76.691,70.89813,-5.7928696
85,108.78398,104.99055,-3.7934341
86,139.3001,135.93272,-3.3673706
87,161.21823,158.0492,-3.1690369
88,174.47006,170.7263,-3.7437592
89,180.11429,177.1514,-2.9628906
90,181.21786,180.54823,-0.66963196
91,182.31898,181.21065,-1.1083374
92,175.83496,176.11598,0.28102112
93,160.80685,161.03108,0.2242279
94,135.25998,133.9918,-1.2681732
95,98.960655,98.114174,-0.8464813
96,65.684,61.082813,-4.601185
97,33.82063,30.903503,-2.9171257
98,13.022873,11.422266,-1.6006069
99,0.0,1.5026838,1.5026838
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.7464583,0.7464583
103,1.0134637,2.7276134,1.7141497
104,5.416999,5.8757386,0.45873976
105,9.779194,9.655938,-0.12325573
106,12.422389,12.857049,0.43465996
107,16.743082,14.101358,-2.6417236
108,14.831349,12.751007,-2.0803423
109,8.166428,9.443359,1.2769318
110,0.0,5.717309,5.717309
111,0.0,3.0175116,3.0175116
112,0.0,1.889149,1.889149
113,0.0,1.9051425,1.9051425
114,0.0,2.2159684,2.2159684
115,0.0,2.1947303,2.1947303
116,0.0,1.7189046,1.7189046
117,0.0,1.024944,1.024944
118,0.0,0.39613333,0.39613333
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.23041521,0.23041521
126,0.0,0.68464226,0.68464226
127,0.0,1.2332666,1.2332666
128,0.0,1.7379875,1.7379875
129,0.0,2.2616544,2.2616544
130,0.0,3.0876184,3.0876184
131,0.0,4.42278,4.42278
132,0.0,6.104174,6.104174
133,0.0,7.6141295,7.6141295
134,0.0,8.30448,8.30448
135,0.0,7.673412,7.673412
136,0.0,5.701036,5.701036
137,0.0,3.0170033,3.0170033
138,0.0,0.5487253,0.5487253
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,1.7786659,2.6342266,0.85556066
149,9.529923,8.227251,-1.3026724
150,23.579811,21.366232,-2.2135792
151,49.012627,45.718925,-3.2937012
152,86.24139,80.978065,-5.263321
153,130.1829,120.571846,-9.611061
154,165.2958,154.30177,-10.994034
155,187.17653,174.31805,-12.858475
156,192.96638,179.17488,-13.791504
157,187.95561,173.589,-14.366608
158,177.01172,165.4662,-11.545517
159,174.42769,161.77492,-12.652771
160,176.96152,164.8963,-12.065216
161,182.82741,172.32877,-10.498642
162,190.05402,179.89594,-10.158081
163,192.94734,184.39539,-8.551956
